कार	kaar
फिल्म	philm
प्रेस	preis
सिअर	sir
लोगों	loo goon
रोअड्	roo nad:
क्प	kp
पेपर	pei par
गर्ल	garl
जोके	joo kei
लंच	lanch
वेल	veil
सीजं	sii jan
थिंग	thing
डिग्रीअ	d:ig riia
लूक	luuk
मदम	ma dam
कूल	kuul
ऊनिवर्सिटाय्	a ni var si t:aay
म्द	mad
वैसे	vai sei
सोन	soon
ट्रेईन	t:rein
कोर्ट	koort:
मिस	mis
लव	lav
मूवी	muu vii
वासते	vaas tei
ब्लू	bluu
एअरपोर्ट	a ra poort:
बात	baat
फसे	phaph sei
लाइट	laait:
मान	maan
फ़न	phan
गुई	guii
वीक	viik
फोटो	phoo t:oo
सुन	sun
टेस्ट	t:eist:
स्तार	staar
किंग	king
मोन्ठ	moont:h
रेस्ट	reist:
एयर	ei ra
बैंक	baink
बोलीवुड	boo lii vud:
बॉय	baay
बजट	ba jat:
बस	bas
कार्ड	kaard:
चैनल	chai nal
चेक	cheik
कॉलेज	kaa leij
कंपनी	kam pa nii
क्रिकेट	kri keit:
क्रोडअ	kroo d:a
फार्म	phaarm
इंटरनेट	in t:ar neit:
माऐच	maaeich
मीडिया	mii d:i yaa
मोबाइले	moo baai lei
पार्टी	paar t:ii
पेअरफॉर्म्ंस	pei ra pha ra mans
पेट्रोल	peit: rool
फोन	phoon
प्ले	plei
प्लेय्लिस्ट	pleiy list:
पुलिस	pu lis
पोस्टर	poos t:ar
रेल	reil
रेलवे	reil vei
रपर्ट	ra part:
स्कूल	skuul
स्कोर	skoor
सीअट्	siit:
सेल्फिए	seil phiei
सर्विस	sar vis
शारे	shaa rei
शॉट	shaat:
स्टेशन	st:ei shan
सूट	suut:
सुपर्स्टर	su par st:ar
टीअम्	t:ii ma
टीअसर	t:ii sar
थिएट्रे	thieit: rei
ट्रेलर	t:rei lar
वीडियों	vii d:i yoon
वोइस	voois
विकेट	vi keit:
रूम	ruum
टीचर	t:ii char
मोनी	moo nii
हाउस	haaus
दय	da ya
सीन	siin
इंतर्व्यू	in tar vyuu
बुक	buk
क्लास	klaas
वर्ड	vard:
गिफ्ट	gipht:
डेसिजन	dei si jan
गोद	good
ब्लड	blad:
ग्रूप	gruup
द़ते	da tei
नीअद	nii dad
हीरों	hii roon
नंबर	nam bar
लाइफ	laaiph
विफ	viph
ट्रैफिक	trai phik
पावर	paa var
सौंग	saung
म्यूजिक	myuu jik
ऊँक्ल	uunkl
औफिस	phais
रीकेस्ट	rii keist:
टाइम	t:aaim
आऊँटी	aauun t:ii
गर्ल्फ्रेंड	gar lphreind:
सिटी	si t:ii
वीकेंड	vii keind:
बेबी	bei bii
स्टाइल	st:aail
चीअफ्	chiiaph
फवरिते	pha va ri tei
फ्रेंड	phreind:
मोम	moom
स्टोरी	st:oo rii
पोस्ट	poost:
यूथ	yuuth
लिंक	link
वर्क	vark
होम	hoom
नैशन	nai shan
सुसाइड	su saaid:
वेल्फ़रे	veil pha rei
फर्सं	phars
बर्थ	barth
बर्थ़ड्य	bar thad: ya
एंट्री	ein t:rii
गमे	ga mei
पिक्चर	pik char
प्लान	plaan
वाटर	vaa t:ar
व्यू	vyuu
मेसाज	mei saaj
ग्रोऊँड	groouund:
प्लसे	pla sei
मदर	ma dar
ग्रीन	griin
हेल्थ	heilth
वोलूंट्यर	voo luun t:yar
हाफ	haaph
हिस्ट्री	his t:rii
डेवलपमेंट	d:ei val pa meint:
स्टटे	st:a t:ei
कोरुप्शिअन	kooup shi na
साइड	saaid:
स्टूडैंट	st:uu d:aint:
पेरेंट्स	p ei r ei n t:s
आर्मी	aar mii
प्राइस	praais
स्कम	skam
एग्जाम	eig jaam
फ़थर	pha thar
एनिवरसरी	ei ni var sa rii
ट्रीब्युटे	t:riib yu t:ei
सुंदय	sun day
फैमिली	phai mi lii
मां	maan
आगे	aa gei
ब्रादर	braa dar
टेररिस्ट	t:ei ra rist:
रिएक्शन	rieik shan
बाक्स	baaks
वीद्दींग	viid diing
डैअथ्	d:ai thath
प्रीम	priim
पारलिअमेंट	paa ra li na meint:
हार्ट	haart:
वर्ल्ड	var lad:
स्टतस	st:a tas
सेंचरी	sein cha rii
मिंद	mind
सक्सेस	sak seis
यीअर	yiir
विक्ट्री	vik t:rii
बन्द	band
लोट	loot:
ईवेंट	ii veint:
मैटर	mai t:ar
टेम्प्लअ	t:eim pa la
प्रॉब्लम	praab lam
कैप्टन	kaip t:an
मुसलिम	mus lim
एक्सपेरेंस	eik spei reins
नाइट	naait:
न्यू	nyuu
उस	us
फूड	phuud:
पियौप्लअ	pi yaup la ra
इलेक्शन	i leik shan
गवर्नमेंट	ga var nmeint:
इशूअ	i shuu
लार्ड	laard:
काअंट्री	kaan t:rii
मिनिस्टर	mi nis t:ar
रिसपेक्ट	ris peikt:
बोस	boos
प्रोटेस्ट	proo t:eist:
रिव्यू	riv yuu
अन्स्वर	an svar
ईवेनिंग	i vei ning
ल्यरिक्स	lya rik
व्रोंग	vroong
बम्ब	bamb
मोरनिंग	moor ning
केस्शन	keis shan
बार्डर	baar d:ar
ल्व	lva
पोलिटिक्स	poo li t:iks
प्रेसीडेंट	prei sii d:eint:
आप्पॉजीशन	aap pa jii shan
मोमेंट	moo meint:
वोमन	voo man
रिजं	ri jan
बॉडी	baa d:ii
जॉब	jaab
